1.064270482603816106e+02,1.248399176954732752e+02
1.070854844743733736e+02,1.268152263374486211e+02
1.070854844743733736e+02,1.314242798353909620e+02
1.077439206883651366e+02,1.353748971193415969e+02
1.084023569023569564e+02,1.406423868312757577e+02
1.070854844743733736e+02,1.472267489711934445e+02
1.084023569023569564e+02,1.505189300411523163e+02
1.077439206883651366e+02,1.538111111111111313e+02
1.077439206883651366e+02,1.597370370370370551e+02
1.070854844743733736e+02,1.636876543209876900e+02
1.077439206883651366e+02,1.669798353909465618e+02
1.077439206883651366e+02,1.715888888888889028e+02
1.077439206883651366e+02,1.748810699588477746e+02
1.077439206883651366e+02,1.775148148148148266e+02
1.070854844743733736e+02,1.827823045267489874e+02
1.070854844743733736e+02,1.860744855967078593e+02
1.084023569023569564e+02,1.913419753086420201e+02
1.084023569023569564e+02,1.952925925925925981e+02
1.077439206883651366e+02,1.985847736625514699e+02
1.070854844743733736e+02,2.018769547325103417e+02
